to_node	from_node	metric	failure_prob
78	152	1000	0.002
153	78	1000	0.002
78	153	1000	0.002
121	79	1000	0.002
79	121	1000	0.002
128	79	1000	0.002
79	128	1000	0.002
100	80	1000	0.002
80	100	1000	0.002
82	81	1000	0.002
81	82	1000	0.002
87	81	1000	0.002
81	87	1000	0.002
104	82	1000	0.002
82	104	1000	0.002
105	83	1000	0.002
83	105	1000	0.002
106	83	1000	0.002
83	106	1000	0.002
110	83	1000	0.002
83	110	1000	0.002
134	87	1000	0.002
87	134	1000	0.002
144	88	1000	0.002
88	144	1000	0.002
90	89	1000	0.002
89	90	1000	0.002
95	89	1000	0.002
89	95	1000	0.002
116	90	1000	0.002
90	116	1000	0.002
99	91	1000	0.002
91	99	1000	0.002
92	91	1000	0.002
91	92	1000	0.002
98	92	1000	0.002
92	98	1000	0.002
118	92	1000	0.002
92	118	1000	0.002
94	93	1000	0.002
93	94	1000	0.002
95	94	1000	0.002
94	95	1000	0.002
96	95	1000	0.002
95	96	1000	0.002
111	96	1000	0.002
96	111	1000	0.002
121	97	1000	0.002
97	121	1000	0.002
127	97	1000	0.002
97	127	1000	0.002
99	98	1000	0.002
98	99	1000	0.002
122	100	1000	0.002
100	122	1000	0.002
102	101	1000	0.002
101	102	1000	0.002
119	101	1000	0.002
101	119	1000	0.002
109	102	1000	0.002
102	109	1000	0.002
106	103	1000	0.002
103	106	1000	0.002
104	103	1000	0.002
103	104	1000	0.002
134	104	1000	0.002
104	134	1000	0.002
108	105	1000	0.002
105	108	1000	0.002
108	107	1000	0.002
107	108	1000	0.002
109	107	1000	0.002
107	109	1000	0.002
110	107	1000	0.002
107	110	1000	0.002
114	111	1000	0.002
111	114	1000	0.002
112	111	1000	0.002
111	112	1000	0.002
114	113	1000	0.002
113	114	1000	0.002
116	113	1000	0.002
113	116	1000	0.002
118	115	1000	0.002
115	118	1000	0.002
118	117	1000	0.002
117	118	1000	0.002
119	117	1000	0.002
117	119	1000	0.002
120	119	1000	0.002
119	120	1000	0.002
145	122	1000	0.002
122	145	1000	0.002
130	123	1000	0.002
123	130	1000	0.002
125	123	1000	0.002
123	125	1000	0.002
130	124	1000	0.002
124	130	1000	0.002
132	125	1000	0.002
125	132	1000	0.002
131	126	1000	0.002
126	131	1000	0.002
129	128	1000	0.002
128	129	1000	0.002
130	128	1000	0.002
128	130	1000	0.002
130	129	1000	0.002
129	130	1000	0.002
132	131	1000	0.002
131	132	1000	0.002
134	133	1000	0.002
133	134	1000	0.002
139	134	1000	0.002
134	139	1000	0.002
137	135	1000	0.002
135	137	1000	0.002
138	135	1000	0.002
135	138	1000	0.002
142	135	1000	0.002
135	142	1000	0.002
137	136	1000	0.002
136	137	1000	0.002
140	139	1000	0.002
139	140	1000	0.002
141	140	1000	0.002
140	141	1000	0.002
142	141	1000	0.002
141	142	1000	0.002
158	143	1000	0.002
143	158	1000	0.002
144	143	1000	0.002
143	144	1000	0.002
146	145	1000	0.002
145	146	1000	0.002
147	146	1000	0.002
146	147	1000	0.002
148	147	1000	0.002
147	148	1000	0.002
150	149	1000	0.002
149	150	1000	0.002
153	151	1000	0.002
151	153	1000	0.002
155	151	1000	0.002
151	155	1000	0.002
152	151	1000	0.002
151	152	1000	0.002
155	154	1000	0.002
154	155	1000	0.002
157	156	1000	0.002
156	157	1000	0.002
158	157	1000	0.002
157	158	1000	0.002
